IP:PORT, DELAY
162.159.195.209:8886,142 ms
162.159.195.224:3476,143 ms
162.159.195.180:3476,143 ms
162.159.195.218:3476,143 ms
162.159.195.18:8886,144 ms
162.159.195.192:8886,152 ms
162.159.195.67:3476,152 ms
162.159.195.64:8886,157 ms
162.159.195.14:8886,158 ms
162.159.195.60:8886,159 ms
162.159.195.188:8886,160 ms
162.159.195.176:8886,160 ms
162.159.195.91:8886,160 ms
162.159.195.2:3476,161 ms
188.114.96.215:3476,162 ms
188.114.98.120:8886,163 ms
188.114.96.32:3476,164 ms
188.114.97.6:8886,165 ms
188.114.99.90:8886,165 ms
188.114.99.141:3476,165 ms
188.114.96.183:8886,166 ms
188.114.97.146:3476,166 ms
188.114.96.31:3476,166 ms
188.114.96.187:3476,168 ms
188.114.98.211:3476,170 ms
188.114.96.68:3476,183 ms
188.114.98.28:8886,195 ms
188.114.98.178:3476,200 ms
188.114.97.62:3476,200 ms
188.114.96.48:8886,201 ms
188.114.98.77:8886,201 ms
188.114.99.219:3476,201 ms
188.114.96.28:8886,201 ms
188.114.98.135:3476,201 ms
188.114.96.64:3476,201 ms
188.114.97.74:3476,201 ms
188.114.98.6:8886,201 ms
188.114.99.144:3476,201 ms
188.114.99.226:3476,202 ms
188.114.97.192:8886,202 ms
188.114.97.177:3476,202 ms
188.114.97.179:8886,202 ms
188.114.96.2:8886,202 ms
188.114.99.46:3476,202 ms
188.114.98.74:3476,202 ms
188.114.97.21:8886,202 ms
188.114.99.103:8886,202 ms
188.114.99.161:3476,202 ms
188.114.99.235:8886,202 ms
188.114.98.144:8886,202 ms
188.114.99.85:3476,202 ms
188.114.99.48:8886,203 ms
188.114.98.33:3476,203 ms
188.114.99.11:8886,203 ms
188.114.99.86:3476,203 ms
188.114.97.19:3476,203 ms
188.114.99.122:8886,203 ms
188.114.97.206:8886,203 ms
188.114.96.29:8886,203 ms
188.114.98.105:3476,203 ms
188.114.96.247:3476,203 ms
188.114.96.160:3476,203 ms
188.114.97.124:3476,203 ms
188.114.98.4:3476,204 ms
188.114.96.204:3476,204 ms
188.114.98.180:3476,204 ms
188.114.97.220:3476,204 ms
188.114.98.55:8886,204 ms
188.114.97.207:8886,204 ms
188.114.97.5:3476,204 ms
162.159.193.208:3476,204 ms
162.159.192.234:8886,204 ms
162.159.192.181:8886,204 ms
162.159.193.11:3476,205 ms
162.159.193.39:3476,205 ms
162.159.192.42:8886,205 ms
162.159.193.230:3476,205 ms
162.159.192.164:3476,205 ms
162.159.193.19:8886,205 ms
162.159.192.224:8886,205 ms
162.159.192.228:8886,205 ms
162.159.193.38:3476,206 ms
162.159.193.181:3476,206 ms
162.159.193.168:3476,206 ms
162.159.192.167:8886,206 ms
162.159.193.82:8886,206 ms
162.159.192.70:3476,207 ms
162.159.193.85:3476,207 ms
188.114.97.2:8886,207 ms
162.159.193.206:8886,208 ms
162.159.193.188:3476,208 ms
162.159.192.105:8886,208 ms
162.159.192.243:8886,208 ms
162.159.192.97:8886,209 ms
162.159.192.82:8886,209 ms
162.159.193.76:8886,209 ms
162.159.193.180:3476,209 ms
162.159.192.246:8886,210 ms
162.159.192.74:8886,210 ms
162.159.193.65:8886,210 ms
